S_No,Content,Type,Source
164,def max_circular_sum(array):,Code,Bard
165,"def __init__(self, data):",Code,Bard
166,defaultdict,Code,Bard
167,"def radix_sort(array, max_digit):",Code,Bard
168,def longest_palindrome_subsequence(string):,Code,Bard
169,,Code,Bard
170,def longest_increasing_subsequence(array):,Code,Bard
171,defaultdict,Code,Bard
172,def max_product_subarray(array):,Code,Bard
173,"def __init__(self, n):",Code,Bard
174,"def longest_common_subarray(arr1, arr2):",Code,Bard
175,def floyd_warshall(graph):,Code,Bard
176,"def __init__(self, val):",Code,Bard
177,"def bfs(graph, start):",Code,Bard
178,"def __init__(self, capacity):",Code,Bard
179,def largest_rectangle(histogram):,Code,Bard
180,def create_graph(n):,Code,Bard
181,def first_non_repeated_character(string):,Code,Bard
182,"def __init__(self, capacity):",Code,Bard
183,"def scs(x, y):",Code,Bard
184,"def __init__(self, root):",Code,Bard
185,def longest_palindrome(string):,Code,Bard
186,def topological_sort(graph):,Code,Bard
187,"def lcs(x, y, z):",Code,Bard
188,"def heapify(heap, n, i):",Code,Bard
189,def find_smallest_missing_positive(array):,Code,Bard
190,"def __init__(self, n):",Code,Bard
191,"def count_ways(n, step_sizes):",Code,Bard
192,"def sliding_window_maximum(array, window_size):",Code,Bard
193,def min_steps(array):,Code,Bard
194,"def counting_sort(array, max_value):",Code,Bard
195,"def longest_common_subarray_with_k_differences(arr1, arr2, k):",Code,Bard
196,def max_area_of_rectangle_in_binary_matrix(matrix):,Code,Bard
197,"def __init__(self, n):",Code,Bard
198,def first_missing_positive(nums):,Code,Bard
199,def topological_sort(graph):,Code,Bard
200,"def lcs(x, y):",Code,Bard
201,"def quick_sort(array, low, high):",Code,Bard
202,"def longest_increasing_subarray(array, target):",Code,Bard
203,"def dfs(tree, node):",Code,Bard
204,"def dijkstra(graph, source, destination):",Code,Bard
205,def __init__(self):,Code,Bard
206,def longest_common_prefix(strings):,Code,Bard
207,"def merge_sort(array, low, high):",Code,Bard
208,"def max_sum_subarray_k(array, k):",Code,Bard
209,"def __init__(self, value, priority):",Code,Bard
210,def largest_sum_subarray_with_equal_zeros_and_ones(arr):,Code,Bard
211,def bubble_sort_optimized(array):,Code,Bard
212,def longest_common_subarray_with_equal_zeros_and_ones(array):,Code,Bard
213,"def __init__(self, value):",Code,Bard
214,def max_product_of_two_elements(arr):,Code,Bard
215,"def __init__(self, data):",Code,Bard
216,"def longest_common_subarray_with_sum_divisible_by_k(arr, n, k):",Code,Bard
217,def optimized_selection_sort(array):,Code,Bard
218,def find_smallest_missing_positive_integer(array):,Code,Bard
219,def shell_sort(arr):,Code,Bard
220,"def longest_common_subarray_with_sum_equal_to_k(arr, n, k):",Code,Bard
221,def max_sum_subarray_no_adjacent(array):,Code,Bard
222,def __init__(self):,Code,Bard
223,"def longest_common_subarray_with_sum_less_than_or_equal_to_target(arr, n, target):",Code,Bard
224,"def radix_sort(array, max_digit):",Code,Bard
225,"def largest_sum_subarray_with_k_elements(array, k):",Code,Bard
226,def bucket_sort(array):,Code,Bard
227,def longest_common_subarray(array):,Code,Bard
228,"def __init__(self, size):",Code,Bard
229,def max_sum_subarray_with_at_least_one_element(array):,Code,Bard
230,"def __init__(self, val):",Code,Bard
231,"def longest_common_subarray(array, k):",Code,Bard
232,def __init__(self):,Code,Bard
233,"def max_sum_subarray_with_target(array, target):",Code,Bard
234,def __init__(self):,Code,Bard
235,"def longest_common_subarray(array, k):",Code,Bard
236,def __init__(self):,Code,Bard
237,"def largest_sum_subarray_less_than_or_equal_to_k(array, k):",Code,Bard
238,"def __init__(self, value):",Code,Bard
239,"def longest_common_subarray_with_sum_equal_to_k(array, k):",Code,Bard
240,"def __init__(self, size):",Code,Bard
241,"def max_sum_subarray_greater_than_or_equal_to_k(array, k):",Code,Bard
242,"def __init__(self, data):",Code,Bard
243,"def longest_common_subarray_with_at_most_k_differences(array1, array2, k):",Code,Bard
244,def __init__(self):,Code,Bard
245,"def max_sum_subarray_with_sum_divisible_by_k(array, k):",Code,Bard
246,def merge_sort(array):,Code,Bard
247,def largest_product_subarray(array):,Code,Bard
248,def largest_sum_subarray(array):,Code,Bard
